10640	0	1	0	长裤/口袋	0.80	100
10640	0	9	0	四线埋前后浪	0.55	280
10640	0	9	0	四线内浪*2	0.50	300
10640	0	9	0	四线埋侧缝落洗水唛	0.60	320
10640	0	9	0	四线上腰头	0.60	340
10640	0	6	0	烫上针织长裤	0.50	360
10640	0	7	0	长袖、长裤、连体装、半身装	0.60	380
10640	0	16	0	T恤、泳衣、背心、短袖、短裤	0.30	400
10640	0	18	0	鸡眼*2	0.30	420
10640	0	19	0	穿脚口橡筋绳+锁扣*2	0.40	440
10640	0	21	0	包装	0.25	460
10640	0	2	0	驳接下脚橡筋剪量*2	0.20	520
10640	0	2	0	平车驳、量腰橡筋包车腰橡筋*1	0.90	540
10640	0	13	0	平车运反袋布间袋1/4线落袋布间袋口线定袋口位*2	1.30	580
10640	0	13	0	平车落前袋贴*2	0.30	600
10640	0	2	0	平车折车脚口*2	0.40	620
10640	0	2	0	定主唛两头暗线	0.30	640
10640	0	2	0	平车间腰头橡筋线*2	0.80	680
10640	0	4	0	冚脚口*2	0.48	700
